"","score","text"
"42",-1,"""Joker's Daycare""
I just had to do this one <ed><U+00A0><U+00BD><ed><U+00B8><U+0085>. 
#sketch #joker #batman #robin #negan #walkingdead"
"43",1,"RT @HistoftheBatman: It's December Gothamites! Enjoy this #Batman / #CharlieBrown mash-up by Sarah J : https://t.co/gMAqs8R9GY! <U+2744><U+FE0F><U+2603><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0081> #Ch…"
"44",0,"RT @egopusher: #batman and #robin in #dalston #london #qualitytime #egopusher #onetimewithfeeling #nickcaveandthebadseeds #real3d https://t…"
"45",0,"h °   S P I T  a l i t y
https://t.co/8jKrNHgorP
#new #style #old #smile 
#hello #small #crumb #scan 
#goodbye #fat #ham #batman"
"46",1,"RT @HistoftheBatman: It's December Gothamites! Enjoy this #Batman / #CharlieBrown mash-up by Sarah J : https://t.co/gMAqs8R9GY! <U+2744><U+FE0F><U+2603><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0081> #Ch…"
"47",2,"RT @tarastrong: A very happy birthday to the untouchable @RealKevinConroy an incredible talent…&amp; such a mensch. <U+2764><U+FE0F> u #Batman https://t.co/I…"
"48",1,"RT @angiesangelhelp: Shop @fundotcom_ For The Best Nerdy Gifts This Holiday Season https://t.co/GdiUEGKtUV #ad #HGG #Holidays #BATMAN #marv…"
"49",0,"Arkham logo Cap <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>

¡Ya tenemos disponibles en La Telaraña®, corran por la suya! <ed><U+00A0><U+00BC><ed><U+00BF><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+00A8>

#Batman #ArkhamKnight https://t.co/ScHQsRCv8D"
"50",1,"RT @Disconeedsme: Holy extensive Bat-Cast Batman! Check out the Official @LEGOBatmanMovie Poster! @LEGO_Group #lego #batman https://t.co/hU…"
"51",0,"RT @SensinYasak: #Batman'da 4 IHL ögrencisi çocuga, ögretmenleri tarafindan tecavüz edildigi ortaya çikti. Muayene edilen çocuklardan haber…"
"52",0,"<ed><U+00A0><U+00BD><ed><U+00B9><U+008A>

#batman #batmanthedarkknight #TheBatman #thedarkknight #harveydent #brucewayne #twoface https://t.co/j8qGJJ9HP0"
"53",0,"RT @HDPkadin: Biz kadinlar #Adana ve #Batman'daki çocuklar için ayaktayiz! 
Fotograflar Facebook sayfamizda:
https://t.co/8sZBJyfDuB https:…"
"54",0,"Artificial Intelligence, Batman, and Drones among the Top 10 InsurTech Startups Selected for ... | https://t.co/K888AAsCuN #Batman"
"55",0,"#batman and #robin in #dalston #london #qualitytime #egopusher #onetimewithfeeling #nickcaveandthebadseeds #real3d https://t.co/0u5R1DPUU5"
"56",0,"RT @DCcomicsMX: ""Tú no eres aquello para lo que te hicieron. Tú eres algo más. Eres lo que decides ser"".

#Batman. https://t.co/zalTZMU3au"
"57",2,"My #Ebay page has some classic #Marvel #DC #Comics #Superman #XMen #Punisher #Batman titles https://t.co/BVUjVhJ5vE"
"58",2,"My #Ebay page has some classic #Marvel #DC #Comics #Superman #XMen #Punisher #Batman titles https://t.co/42vtyh6kDd"
"59",0,"RT @shirtoid: ""Shopping With The Boy"" by Hillary White is $11 today https://t.co/Ub4qGrM0lQ

#batman #comics #dynamicduo #robin #shoppingca…"
"60",0,"#justiceleague #wonderwoman #superman #batman #richardsimons #flash… https://t.co/PXFz7UDezu"
"61",2,"RT @tarastrong: A very happy birthday to the untouchable @RealKevinConroy an incredible talent…&amp; such a mensch. <U+2764><U+FE0F> u #Batman https://t.co/I…"
"62",1,"Our next entry in the @ClashoftheNerds Top 100 Games of all time 40-31 is up. https://t.co/xwQFfPSSbc #bioshock #batman #marvel #pokemon"
"63",1,"Twins Connor &amp; Chloe celebrated their birthday w/ #CaptainAmerica #Batman &amp; #QueenElsa in Cayucos Nov 19!… https://t.co/0SSQnf6q3u"
"64",1,"RT @billkuchman: A quarter century after #Batman Returns, Billy Dee Williams finally gets the Two-Face role he was promised. https://t.co/3…"
"65",0,"RT @TonyDanielx2: #Batman from mine and @grantmorrison run circa 2010.  Inked myself here #dccomics https://t.co/YVWbrVGX8J"
"66",1,"RT @HistoftheBatman: It's December Gothamites! Enjoy this #Batman / #CharlieBrown mash-up by Sarah J : https://t.co/gMAqs8R9GY! <U+2744><U+FE0F><U+2603><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0081> #Ch…"
"67",0,"#labajada #oceanofm #batman https://t.co/H9PFzzKUMJ"
"68",0,"Batgirl #sketch #Doodles #Batgirl #dccomics #Batman https://t.co/JxpbbpDbtv"
"69",0,"RT @Foam60: RT jdubuzz: #Concours sur notre page Facebook !
Gagnez ces goodies #StarWars et #Batman :
https://t.co/fM6afHihdG https://t.co/…"
"70",0,"RT @LStorpingMuseum: #batman #viewmaster reels appeared in two versions @Batman_60s #batman66 @therealadamwest @SilverAgeTV https://t.co/5h…"
"71",0,"RT @CulturaSerie: ¿Contentos con el horario de salida? 
#Batman
#Robin
#Gif
https://t.co/Q8WKriI0SX https://t.co/Smrt4v2mhk"
"72",-1,"#Kid #Toys Mattel DC Multiverse Suicide Squad #Batman 6 Inch Action #Figure Loose https://t.co/3aqDqiQL0o #Gift https://t.co/vKcltPsOpR"
"73",1,"It's December Gothamites! Enjoy this #Batman / #CharlieBrown mash-up by Sarah J : https://t.co/gMAqs8R9GY! <U+2744><U+FE0F><U+2603><ed><U+00A0><U+00BC><ed><U+00BE><U+0085><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BC><ed><U+00BE><U+0084><ed><U+00A0><U+00BC><ed><U+00BE><U+0081>… https://t.co/dxIhDK2HUw"
"74",1,"RT @Disconeedsme: Holy extensive Bat-Cast Batman! Check out the Official @LEGOBatmanMovie Poster! @LEGO_Group #lego #batman https://t.co/hU…"
"75",0,"RT @JamesGavsie: Happy belated Birthday to #KevinConroy , the definitive #Batman. #BTAS #dccomics https://t.co/FWL9ItcaDY"
"76",0,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> #harleyquinn by @lyddie_kyddie #darknightgirl #batman #batfan #girlslovebatman #gotham #batlife... https://t.co/00Z0DgJ8oy"
"77",2,"RT @B10n1c_Ch1mp: Slightly random lunch paint of @camrenbicondova as Tim Burton's Catwoman. Decent casting to be fair. #catwoman #batman #g…"
"78",1,"Like our shows? Have you been to https://t.co/vLxSUeKlht yet? #batman #jamesbond #podcast"
"79",0,"RT @LesMoufles: Nos codeurs en ce moment... #nuitinfo #batman https://t.co/fiBcS3GjzZ"
"80",1,"RT @TheLastCanary: Just a friendly reminder that #BlackCanary is indeed on the same tier as #WonderWoman #Batman &amp; #Superman #YesLaurelYesA…"
"81",1,"Best Ride on Cars 662R 6V Batmobile, Black - https://t.co/PXjfxBH7lK - #Batman https://t.co/EOiWiedKZT"
"82",0,"RT @XXXCOMICGEEK: JLA GANG BANG #DCXXX #BlackCanaryXXX #GreenLanternXXX #Batman #FlashXXX #ShazamXXX https://t.co/sFW8H5Qs1O"
"83",1,"RT @TheLastCanary: Just a friendly reminder that #BlackCanary is indeed on the same tier as #WonderWoman #Batman &amp; #Superman #YesLaurelYesA…"
"84",0,"'The #LEGO #Batman Movie Poster' Is Packed With Bat-Friends and Foes https://t.co/HVGT9oncTk #Comics #Comic411 #animation #dc #movies"
"85",1,"RT @TheLastCanary: Just a friendly reminder that #BlackCanary is indeed on the same tier as #WonderWoman #Batman &amp; #Superman #YesLaurelYesA…"
"86",0,"RT @DCcomicsMX: ""Tú no eres aquello para lo que te hicieron. Tú eres algo más. Eres lo que decides ser"".

#Batman. https://t.co/zalTZMU3au"
"87",0,"RT @BatmanStore: Who Was The Flash Talking About In Batman v Superman? - https://t.co/ouFfejtrxs - #Batman"
"88",2,"RT @B10n1c_Ch1mp: Slightly random lunch paint of @camrenbicondova as Tim Burton's Catwoman. Decent casting to be fair. #catwoman #batman #g…"
"89",0,"#Hogwarts and #BATMAN crossover
@ny_comic_con #newyorkcomiccon #blerd #blackgeek #blacknerd… https://t.co/BZWw09qMbW"
"90",-1,"The #LEGOBatmanMovie has more #DCcomics crew than you can shake a brick at.

@LEGOBatmanMovie #Batman #LEGO

The... https://t.co/uUSZSX2onj"
"91",0,"RT @DCcomicsMX: ""Tú no eres aquello para lo que te hicieron. Tú eres algo más. Eres lo que decides ser"".

#Batman. https://t.co/zalTZMU3au"
"92",0,"'The #LEGO #Batman Movie Poster' Is Packed With Bat-Friends and Foes https://t.co/0Wof044eGm https://t.co/3RUQh0kFY8"
"93",1,"In #batman voice talking about almonds:
Boss: I LOVE SALTY NUTS. THOSE ARE THE BEST KIND. 
#whydoweeventalk #funny"
"94",1,"RT @Disconeedsme: Holy extensive Bat-Cast Batman! Check out the Official @LEGOBatmanMovie Poster! @LEGO_Group #lego #batman https://t.co/hU…"
"95",1,"RT @angiesangelhelp: Shop @fundotcom_ For The Best Nerdy Gifts This Holiday Season https://t.co/GdiUEGKtUV #ad #HGG #Holidays #BATMAN #marv…"
"96",-1,"Who wants to play? Hehe #jaredleto #margotrobbie #joker #harleyquinn #batman #dccharacters… https://t.co/yocigZpO15"
"97",0,"Yesterday We ""Put Up The #Christmas Tree"" https://t.co/5eKqxkHQCM ... #Batman #Gotham #Holidays #Decorating #DIY https://t.co/HXlUSkSDWb"
"98",1,"Holiday flick binge begins w my fave batman film ""Batman Returns""! #holidays #happydecember #batman @MichaelKeaton https://t.co/t94pmJGuZP"
"99",0,"#LEGO Batman: O Filme | Confira o novo pôster da animação #Batman #DCComics https://t.co/9D1FW5aLbH"
"100",1,"#teen #inked #fetish #hairbows #shoesfetish #batman #love #GRAMMYs

-&gt;&gt; https://t.co/7DAMuZB8w2 !!! https://t.co/eLHeZPtXWv"
"101",1,"How awesome are my new converse! Went full Joker today, Long sleeved T, Work T &amp; shoes! #Batman… https://t.co/BACmIopikM"
"102",0,"RT @ETemelkuran: Bu ülkeyi, baska sey degil, çocuklarin ahi yikacak. #aladag #batman #ensar #pozanti"
"103",0,"Hesap vereceksiniz suursuzlar. Hesap vereceksiniz! #Batman"
"104",0,"Novedades de @eccediciones #batmanyrobin #batman #watchmen @TomosyGrapas @Cinemascomics @UniversoDC1 https://t.co/2MWFPuxDzN"
"105",1,"RT @angiesangelhelp: Shop @fundotcom_ For The Best Nerdy Gifts This Holiday Season https://t.co/GdiUEGKtUV #ad #HGG #Holidays #BATMAN #marv…"
"106",0,"RT @JamesGavsie: Happy belated Birthday to #KevinConroy , the definitive #Batman. #BTAS #dccomics https://t.co/FWL9ItcaDY"
"107",1,"RT @ItsMe_JessicaT: Tsk tsk .... naughty #Batman <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> Always did love to show off his woman <ed><U+00A0><U+00BD><ed><U+00B2><U+008B><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #WonderWomanWednesday #Surprise @Jbon20 @Warwol…"
"108",0,"RT @DCcomicsMX: ""Tú no eres aquello para lo que te hicieron. Tú eres algo más. Eres lo que decides ser"".

#Batman. https://t.co/zalTZMU3au"
"109",0,"RT @badhopper: Now that I have a beer, it's officially vacation! #WackyWednesday @OakHighlands #Batman #vacation @zappafaye @Essau1969 @215…"
"110",0,"RT @_RyuHayabusa: #Batman fanboyu oldugumu da nereden çikardiniz :) https://t.co/LQxiBvS1aq"
"111",0,"RT @DCcomicsMX: ""Tú no eres aquello para lo que te hicieron. Tú eres algo más. Eres lo que decides ser"".

#Batman. https://t.co/zalTZMU3au"
"112",0,"Who Was The Flash Talking About In Batman v Superman? - https://t.co/ouFfejtrxs - #Batman"
"113",1,"20% sale! https://t.co/QX1GDP6ryT  #Designs #Zombies  #Batman #Villians #Starwars #Quotes #Galaxy #Hipster #geeky #nerd #maths #labaccident"
"114",2,"RT @pvpcomic: What a treat to receive a #CyberMonday endorsement from one of the best #Batman podcasts out there! (They know their #Penguin…"
"115",0,"Planetsuki's superhero quote of the day #planetsuki #batman #quoteoftheday #superhero #dccomics #feelgood #motivate https://t.co/b2YUypCNko"
"116",0,"RT @KnowingFlame: Want a grab bag of Batman?

Get one here&gt;&gt; https://t.co/bA08gJaxsK

#Batman #Comics #DCComics https://t.co/Qq3Ly6lacm"
"117",-1,"#Kid #Toys #Batman Legacy Edition The Dark #Knight &amp; The Joker Honor Guard Disguise 5.5""in https://t.co/HCbxTqRDIL… https://t.co/y8YZSgNDXp"
"118",1,"New #LEGO #BATMAN poster released and full of Gotham's finest! https://t.co/2u2ri8uhqQ"
"119",-1,"Hey Puddin'! #HarleyQuinn inspired perfume smells candy sweet. https://t.co/599mEXgM3c #Batman #SuicideSquad https://t.co/yu8ttUi6kR"
"120",0,"Want a grab bag of Batman?

Get one here&gt;&gt; https://t.co/bA08gJaxsK

#Batman #Comics #DCComics https://t.co/Qq3Ly6lacm"
"121",0,"#starwars #batman : #Top du jour numéro 5 : https://t.co/P89i6nmnF9 de @jdubuzz (score : 86%) cc @ekhorizon"
"122",0,"#Batman, #Moana, basketballs &amp; more! Send your favorites from our @Amazon list to a kid in need this holiday season https://t.co/3J6ALIjbZQ"
"123",1,"RT @angiesangelhelp: Shop @fundotcom_ For The Best Nerdy Gifts This Holiday Season https://t.co/GdiUEGKtUV #ad #HGG #Holidays #BATMAN #marv…"
"124",0,"RT @CinematicEX: Batman v superman Warehouse scene with ""X gonna give it to ya"" in HD! #dmx #xgonnagiveittoya #batman #warehouse
https://t.…"
"125",0,"looking for native heroes in the midst of #NoDAPL I review Medicine Soldiers, the #Batman &amp; Robin of the reservatio… https://t.co/yuabyMrsuQ"
"126",2,"RT @tarastrong: A very happy birthday to the untouchable @RealKevinConroy an incredible talent…&amp; such a mensch. <U+2764><U+FE0F> u #Batman https://t.co/I…"
"127",1,"RT @ClaudiuLimbasan: Old Deathstroke vs Batman drawing that I did. Awesome colors by Jesse Heagy! 
#batman #deathstroke #comics #comicart #…"
"128",0,"Damian Wayne em novo jogo em #Arkham? https://t.co/IirebV2sXj #destaques #games #news #notícias #batman #dc"
"129",0,"RT @ayleens4ever: La soledad del heroismo #Batman https://t.co/b9pskBvcsf"
"130",1,"RT @EliDrakeTNA: Take what you want... and now I drive around LA like #Batman #corvette @ Hollywood https://t.co/WHzbyvRFVX"
"131",-1,"Just learned that I hung out with Officer Gordon at the hospital last week. #batman #gotham"
"132",0,"¡Héroes y villanos se reúnen en el nuevo póster de #LEGOBatman! <ed><U+00A0><U+00BC><ed><U+00BE><U+00AC>

#LEGO #LEGOBatmanMovie #Batman #TheJoker… https://t.co/dgPetPEv2b"
"133",3,"Excited about a Batman Movie? No. Excited about a @LEGO_Group Batman Movie? Yes. These minifigs look awesome. #Lego… https://t.co/1dT7ei3kNZ"
"134",3,"Love #Batman? Love Artificial Intelligence? You should check out Person of Interest: https://t.co/YtIxOLT6iz"
"135",-1,"RT @Sazzed: https://t.co/ukyKnauAnb #games #gaming #comics #dc #batman #batmanarkhamcity #arkhamcity #joker  #gamers #villains"
"136",0,"RT @Sazzed: https://t.co/Te7YNAucKM #games #gaming #comics #dc #batman #batmanarkhamcity #arkhamcity #catwoman #gamers #tshirts"
"137",0,"RT @Sazzed: https://t.co/1AcAFB9Efv #games #gaming #comics #dc #batman #batmanarkhamcity #arkhamcity #harleyquinn #harley #quinn"
"138",0,"RT @Sazzed: https://t.co/g6Le78YtD8 #games #gaming #batman #batmanarkhamcity #arkhamcity #gamers #comics #dc #dccomics #gamertee"
"139",1,"RT @Disconeedsme: Holy extensive Bat-Cast Batman! Check out the Official @LEGOBatmanMovie Poster! @LEGO_Group #lego #batman https://t.co/hU…"
"140",0,"RT @Sazzed: https://t.co/vKjt9eH4cu #games #gaming #comics #dc #batman #batmanarkhamcity #arkhamcity #harleyquinn #harley #quinn"
"141",1,"1981 Vintage (BATMAN &amp; WONDER WOMAN) ""Etch A Sketch"" Action Pack Screens just added to store. #Batman, #WonderWoman… https://t.co/9RIAodBfp3"
"142",0,"RT @nonBPDspouse: Batman and the psychology of trauma https://t.co/9kOQ9se41G … #BPD @RespectYourself #batman https://t.co/Z6695ztn3o"
"143",0,"Today i watch show #legends, #Arrow, #Batman, #TheFlash And #Supergirl"
"144",0,"RT @nonBPDspouse: Batman and the psychology of trauma https://t.co/9kOQ9se41G … #BPD @RespectYourself #batman https://t.co/Z6695ztn3o"
"145",1,"RT @angiesangelhelp: Shop @fundotcom_ For The Best Nerdy Gifts This Holiday Season https://t.co/GdiUEGKtUV #ad #HGG #Holidays #BATMAN #marv…"
"146",0,"RT @tbwUltraPowers: got @DCComics ""Detective Comics"" #945 by @JamesTheFourth at @fpinternational #DCComics #DetectiveComics #Batman https:/…"
"147",1,"RT @susaneisenberg1: Happy Birthday to the one and only @RealKevinConroy! #Batman https://t.co/tqhNDyrpTg"
"148",1,"RT @susaneisenberg1: Happy Birthday to the one and only @RealKevinConroy! #Batman https://t.co/tqhNDyrpTg"
"149",0,"Attenzione malviventi c'è #batman che vi difende https://t.co/YARyZLgzHt"
"150",0,"got @DCComics ""Detective Comics"" #945 by @JamesTheFourth at @fpinternational #DCComics #DetectiveComics #Batman https://t.co/ipV6yb8U22"
"151",0,"'The LEGO Batman Movie Poster' Is Packed With Bat-Friends and Foes https://t.co/ZoOUj3cuM5 #batman"
"152",1,"@mike_holmesjr @WarnerBrosEnt holy hole Inna donut #batman"
"153",1,"RT @Disconeedsme: Holy extensive Bat-Cast Batman! Check out the Official @LEGOBatmanMovie Poster! @LEGO_Group #lego #batman https://t.co/hU…"
"154",0,"RT @badhopper: Now that I have a beer, it's officially vacation! #WackyWednesday @OakHighlands #Batman #vacation @zappafaye @Essau1969 @215…"
"155",0,"RT @GhostofLadyFett: #Batman https://t.co/8O42VYGiQx"
"156",0,"La soledad del heroismo #Batman https://t.co/b9pskBvcsf"
"157",-1,"RT @jilla_sensei: Fxck wit me tho..<U+270F><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B6><U+008C><ed><U+00A0><U+00BD><ed><U+00B6><U+008D><ed><U+00A0><U+00BD><ed><U+00B6><U+008A><ed><U+00A0><U+00BD><ed><U+00B3><U+0092>

#batman #arkhamknight #robin #brucewayne #chicago #gotham #darkknight #art #comics #joker https:…"
"158",0,"#need #batman #fashion https://t.co/j4v9WEdeDA"
"159",1,"RT @Disconeedsme: Holy extensive Bat-Cast Batman! Check out the Official @LEGOBatmanMovie Poster! @LEGO_Group #lego #batman https://t.co/hU…"
"160",-1,"Now tracking: Here's Why #Batman Could Be Dangerous https://t.co/iMNGWhe5Fu"
"161",2,"RT @CultLegends: Tv #Villain #VincentPrice as The #Egghead in classic #Batman 1966...Was he #Amazing in this show ? More @HotLegends https:…"
"162",-1,"Don't waste time shopping on the last minute for #comicbooks. Get your #collection here. #Batman #greatdeals… https://t.co/dvmMRordtE"
"163",0,"RT @ETemelkuran: Bu ülkeyi, baska sey degil, çocuklarin ahi yikacak. #aladag #batman #ensar #pozanti"
"164",1,"Take what you want... and now I drive around LA like #Batman #corvette @ Hollywood https://t.co/WHzbyvRFVX"
"165",0,"Always be yourself.... Unless you can be #batman 
#legobatmanmovie https://t.co/7H4rtCOQvD"
"166",1,"Doing my best #Batman impression at @WarnerBrosEnt this morning!  Maybe I'll be the next batman!  At least in my ow… https://t.co/OGgj1ACYvK"
"167",0,"Batman &amp; Tumbler TShirt https://t.co/EJlU13z3gy #batman #batmanandtumbler #batmantshirt https://t.co/oSvWxjAvNc"
"168",1,"#DVD VAL KILMER Authentic Signed Autographed 8X10 Photo w/ COA - Photo 1 https://t.co/CMQnzqdHIv #Batman https://t.co/JbXwlXF265"
"169",0,"RT @darth_blender: Game of Rogues #batman #GameofThrones #mashup #geek https://t.co/YASpI3WnnH"
"170",-1,"#dccomics #batman #art #poisonivy #catwoman #riddler #joker <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/JzafXgcYqO"
"171",0,"RT @DCcomicsMX: ""Tú no eres aquello para lo que te hicieron. Tú eres algo más. Eres lo que decides ser"".

#Batman. https://t.co/zalTZMU3au"
"172",0,"RT @LesMoufles: Nos codeurs en ce moment... #nuitinfo #batman https://t.co/fiBcS3GjzZ"
"173",0,"#create #AdobeLive #stiker #Batman #DC #emoji #darkblue  #ps #softbrush #wacom #2016 https://t.co/npNQsCTv3f"
"174",0,"Isn`t it awesome?

#batman #gotham #batmanfan https://t.co/p1EdPQ7bnH"
"175",0,"Editing a #Batman video!"
"176",0,"New Ep: Cat &amp; the Claw, parts 1&amp;2
https://t.co/amY9eMWZ49
#Batman #BatmanTheAnimatedSeries #DCAnimatedUniverse… https://t.co/QD6pIHjso5"
